time,cpu
0,0.23833417
20,0.250878073
40,0.23833417
60,0.250878073
80,0.275965881
100,0.250878073
120,0.225790266
140,0.250878073
160,0.23833417
180,0.225790266
200,0.23833417
220,0.23833417
240,0.23833417
260,0.23833417
280,82.75213246
300,98.89613648
320,98.80832915
340,99.03411942
360,99.07175113
380,98.45709985
400,97.76718515
420,98.89613648
440,99.46061214
460,98.87104867
480,99.54841947
500,97.85499247
520,97.49121927
539,97.16507777
540,99.72403412
559,97.16507777
560,99.05920723
579,97.16507777
580,98.51981937
599,97.16507777
600,98.6201706
619,97.16507777
620,99.14701455
639,97.16507777
640,97.31560462
659,97.16507777
660,99.29754139
679,97.16507777
680,97.36578023
699,97.16507777
700,94.43050677
719,97.16507777
720,99.87456096
739,97.16507777
740,98.89613648
759,97.16507777
760,98.18113397
779,97.16507777
780,98.16859007
799,97.16507777
800,97.16507777
819,97.62920221
820,97.62920221
839,98.83341696
840,98.83341696
859,99.20973407
860,99.20973407
879,97.71700953
880,97.71700953
899,98.60762669
900,98.60762669
919,98.19367787
920,98.19367787
939,98.84596086
940,98.84596086
959,98.77069744
960,98.77069744
979,99.44806824
980,99.44806824
999,97.66683392
1000,97.66683392
1019,99.51078776
1020,99.51078776
1039,96.32463623
1040,96.32463623
1059,98.11841445
1060,98.11841445
1079,99.05920723
1080,99.05920723
1099,99.36026091
1100,99.36026091
1119,98.16859007
1120,98.16859007
1139,98.75815354
1140,98.75815354
1159,97.80481686
1160,97.80481686
1179,98.55745108
1180,98.55745108
1199,98.48218766
1200,98.48218766
1219,99.03411942
1220,99.03411942
1239,97.5915705
1240,97.5915705
1259,99.27245359
1260,99.27245359
1279,97.9427998
1280,97.9427998
1299,94.75664827
1300,94.75664827
1319,99.15955845
1320,99.15955845
1339,98.94631209
1340,98.94631209
1359,99.22227797
1360,99.22227797
1379,99.23482188
1380,99.23482188
1399,97.71700953
1400,97.71700953
1419,96.04867035
1420,96.04867035
1439,98.958856
1440,98.958856
1459,98.59508279
1460,98.59508279
1479,99.39789262
1480,99.39789262
1499,99.05920723
1500,99.05920723
1519,98.25639739
1520,98.25639739
1539,97.69192173
1540,97.69192173
1559,99.34771701
1560,99.34771701
1579,99.38534872
1580,99.38534872
1599,98.69543402
1600,98.69543402
1619,99.56096337
1620,99.56096337
1639,98.09332664
1640,98.09332664
1659,97.41595585
1660,97.41595585
1679,98.15604616
1680,98.15604616
1699,99.43552434
1700,99.43552434
1719,98.93376819
1720,98.93376819
1739,98.9713999
1740,98.9713999
1759,97.98043151
1760,97.98043151
1779,97.6041144
1780,97.6041144
1799,98.53236327
1800,98.53236327
1819,98.2814852
1820,98.2814852
1839,99.29754139
1840,99.29754139
1859,98.92122428
1860,98.92122428
1879,98.23130958
1880,98.23130958
1899,95.77270447
1900,95.77270447
1919,99.04666332
1920,99.04666332
1939,98.6327145
1940,98.6327145
1959,98.50727546
1960,98.50727546
1979,99.39789262
1980,99.39789262
1999,98.2940291
2000,98.2940291
2019,97.96788761
2020,97.96788761
2039,99.24736578
2040,99.24736578
2059,97.08981435
2060,97.08981435
2079,98.99648771
2080,98.99648771
2099,99.39789262
2100,99.39789262
2119,99.09683894
2120,99.09683894
2139,97.24034119
2140,97.24034119
2159,98.93376819
2160,98.93376819
2179,97.9302559
2180,97.9302559
2199,98.90868038
2200,98.90868038
2219,99.61113899
2220,99.61113899
2239,98.26894129
2240,98.26894129
2259,98.08078274
2260,98.08078274
2279,98.94631209
2280,98.94631209
2299,97.82990467
2300,97.82990467
2319,98.21876568
2320,98.21876568
2339,99.6613146
2339,98.33166081
2359,99.13447065
2359,98.33166081
2379,98.09332664
2379,98.33166081
2399,99.22227797
2399,98.33166081
2419,97.36578023
2419,98.33166081
2439,99.08429503
2439,98.33166081
2459,99.56096337
2459,98.33166081
2479,99.08429503
2479,98.33166081
2499,97.81736076
2499,98.33166081
2519,95.76016056
2519,98.33166081
2539,98.11841445
2539,98.33166081
2559,99.43552434
2559,98.33166081
2579,98.9713999
2579,98.33166081
2599,98.72052183
2599,98.33166081
2619,98.33166081
2619,98.33166081
2639,98.85850477
2639,98.85850477
2659,97.82990467
2659,97.82990467
2679,98.6452584
2679,98.6452584
2699,97.55393879
2699,97.55393879
2719,99.58605118
2719,99.58605118
2739,99.52333166
2739,99.52333166
2759,97.17762168
2759,97.17762168
2779,97.84244857
2779,97.84244857
2799,98.16859007
2799,98.16859007
2819,98.09332664
