time,temp,temp,pressure,pressue,,,,,,
s,C,F,psi,kPa,,,,,,
0,29,84.2,4,27.56,,,,,,
73,29,84.2,4,27.56,,,,,,
145,29,84.2,4,27.56,,,,,,
218,29,84.2,4,27.56,,,Earlier pressure was coded as rdhx,,,
292,29,84.2,4,27.56,,,,,,
366,29,84.2,4.5,31.005,,,,,,
439,29,84.2,4.5,31.005,,,,,,
512,29,84.2,4.5,31.005,,,,,,
584,29,84.2,8,55.12,,,,,,
658,25,77,7,48.23,,,,,,
730,25,77,7,48.23,,,,,,
803,25,77,7,48.23,,,,,,
878,21,69.8,10,68.9,,,,,,
952,21,69.8,10,68.9,,,,,,
1026,21,69.8,10,68.9,,,,,,
1099,25.5,77.9,7,48.23,,,,,,
1171,27,80.6,7,48.23,,,,,,
1245,28.5,83.3,7,48.23,,,,,,
1318,29,84.2,7,48.23,,,,,,
1391,29,84.2,6,41.34,,,,,,
1464,29,84.2,6,41.34,,,,,,
1536,29,84.2,6,41.34,,,,,,
1609,29,84.2,6,41.34,,,,,,
1682,29,84.2,4.5,31.005,,,,,,
1754,29,84.2,4.5,31.005,,,,,,
1830,27,80.6,10,68.9,,,,,,
1903,23,73.4,10,68.9,,,,,,
1976,21,69.8,10,68.9,,,,,,
2048,21,69.8,10,68.9,,,,,,
2121,21,69.8,10,68.9,,,,,,
2194,19.5,67.1,7,48.23,,,,,,
2194,19.5,67.1,6.5,44.785,,,,,,
2266,25.5,77.9,7,48.23,,,,,,
2342,27.5,81.5,7,48.23,,,,,,
2415,28.5,83.3,7,48.23,,,,,,
2490,29,84.2,7.5,51.675,,,,,,
2564,29,84.2,7.5,51.675,,,,,,
2635,29,84.2,7.5,51.675,,,,,,
2708,29,84.2,7.5,51.675,,,,,,
2781,29,84.2,7.5,51.675,,,,,,
2854,29,84.2,7,48.23,,,,,,
2926,27,80.6,10,68.9,,,,,,
2999,26.5,79.7,9.5,65.455,,,,,,
