time,temp,,Pressure,
s,C,F,psi,kPa
0,29,84.2,4.5,31.005
73,29,84.2,9.5,65.455
145,23.5,74.3,10,68.9
145,22,71.6,9.5,65.455
217,22,71.6,9.5,65.455
291,21.5,70.7,9.5,65.455
363,20.5,68.9,9.5,65.455
437,20.5,68.9,9.5,65.455
437,20.5,68.9,9.5,65.455
509,20.5,68.9,9.5,65.455
583,20.5,68.9,10,68.9
655,20.5,68.9,10,68.9
655,19,66.2,10,68.9
731,20.5,68.9,10,68.9
804,20.5,68.9,10,68.9
880,19,66.2,10,68.9
953,19.5,67.1,10,68.9
953,19,66.2,7,48.23
1026,19,66.2,10,68.9
1099,19,66.2,10,68.9
1174,18.5,65.3,8,55.12
1247,18.5,65.3,8,55.12
1247,19,66.2,10,68.9
1320,19,66.2,10,68.9
1393,19,66.2,10,68.9
1466,19,66.2,10,68.9
1466,19,66.2,10,68.9
1538,18.5,65.3,8,55.12
1611,19,66.2,10,68.9
1686,18.5,65.3,8,55.12
1760,18.5,65.3,8,55.12
1760,18.5,65.3,8,55.12
1833,18.5,65.3,8,55.12
1907,18.5,65.3,8,55.12
1980,18.5,65.3,8,55.12
2053,18.5,65.3,8,55.12
2053,18.5,65.3,8,55.12
2125,19,66.2,10,68.9
2199,19,66.2,10,68.9
2270,19,66.2,10,68.9
2343,19,66.2,10,68.9
2343,19,66.2,10,68.9
2417,18.5,65.3,8,55.12
2489,18.5,65.3,8,55.12
2496,19,66.2,8,55.12
2569,18.5,65.3,8,55.12
2642,19,66.2,10,68.9
2715,19,66.2,10,68.9
2787,19,66.2,10,68.9
2860,18.5,65.3,10,68.9
2936,19,66.2,10,68.9
3008,19,66.2,10,68.9
